C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,weekday,month,trend,MEAN_TMP,MIN_TMP,MAX_TMP
16.86,18.06,17.66,17.6,15.24,14.66,14.88,14.62,15.02,14.76,14.7,14.46,15.04,15.32,14.84,15.2,14.82,15.48,14.48,14.82,14.94,15.16,16.36,16.34,14.34,13.3,29.7,22.0,23.12,25.2,20.68,29.9,38.64,68.98,48.64,154.16,181.68,191.86,176.56,137.12,155.26,142.28,169.08,166.34,172.98,177.1,166.36,173.78,162.74,154.4,158.02,143.54,150.8,166.52,150.06,135.04,135.96,128.82,123.52,137.7,161.3,172.76,187.78,173.04,197.94,201.72,169.44,147.44,135.24,102.86,71.8,69.12,60.12,62.78,53.06,31.04,25.56,27.66,25.4,21.82,25.8,23.12,24.84,20.04,24.32,21.0,18.98,21.86,22.96,25.18,31.04,20.3,21.6,23.22,19.12,20.2,2,9,10,28.5,27.3,32.6
19.7,19.16,19.22,17.46,18.5,18.5,16.5,17.08,16.6,16.2,16.4,16.02,16.72,16.52,16.84,15.78,22.52,15.86,16.98,18.96,18.4,16.62,15.74,16.52,15.84,23.58,15.32,23.82,29.54,21.98,23.68,26.18,51.98,65.74,48.8,131.46,179.54,178.5,166.2,188.2,144.66,152.28,155.9,152.34,165.92,185.46,179.42,175.78,168.56,151.48,139.14,151.14,125.84,147.38,163.3,137.46,116.96,139.1,151.28,130.76,153.92,157.92,175.44,166.22,181.18,196.08,151.74,152.62,146.62,94.24,70.96,76.36,78.58,47.4,47.28,23.54,24.48,21.88,21.54,28.66,16.26,22.48,20.98,20.08,24.76,23.9,23.38,26.02,27.12,24.52,25.82,23.1,21.48,21.3,17.4,18.46,3,9,11,28.9,26.8,32.8
17.72,17.62,17.52,16.34,16.4,16.1,16.18,16.04,16.6,17.34,17.2,15.58,15.98,16.08,15.36,15.36,16.16,15.62,21.94,15.46,15.7,16.42,16.02,16.56,14.46,13.12,27.74,23.96,34.16,25.88,25.96,24.54,43.1,46.16,46.64,157.76,179.54,187.24,183.98,168.16,132.38,148.32,164.86,155.9,143.56,171.8,183.28,176.76,181.22,162.18,154.06,140.72,116.66,138.58,117.44,136.38,131.92,127.24,144.74,109.92,128.84,151.34,172.34,163.92,161.3,171.78,167.14,133.86,102.46,89.94,61.64,41.6,27.44,28.34,29.8,25.08,18.58,19.08,21.16,16.84,17.64,19.0,19.48,14.3,15.9,13.3,15.96,16.68,21.18,18.8,27.44,23.34,21.84,18.76,16.18,16.44,4,9,12,28.0,26.5,32.3
16.32,19.38,19.2,18.46,15.06,14.58,16.0,14.96,15.32,14.56,15.28,14.62,14.72,14.92,15.5,14.46,14.32,14.94,15.14,14.8,14.74,14.92,14.02,15.12,15.3,17.3,14.16,13.64,16.76,16.3,16.44,14.54,16.02,15.06,16.9,16.42,13.96,12.42,13.14,13.42,13.86,12.94,11.5,12.12,12.86,14.26,10.5,13.96,14.86,12.44,14.36,10.74,8.56,9.66,10.04,11.56,10.56,9.98,9.62,9.78,9.28,10.36,9.58,8.28,8.44,13.18,11.9,10.72,10.86,7.9,13.96,13.94,11.04,12.02,8.28,13.14,8.92,9.26,16.1,11.54,11.7,11.92,11.82,11.94,11.6,12.08,13.54,22.32,15.62,21.12,19.74,19.8,18.5,18.54,17.3,20.76,5,9,13,28.7,25.4,32.5
17.62,18.22,16.04,16.34,16.68,18.14,17.28,16.36,14.58,13.9,15.52,15.4,13.76,14.1,13.64,13.6,13.54,15.0,13.46,14.76,14.2,14.42,16.76,17.38,15.3,14.02,15.0,13.4,13.2,13.6,16.0,15.46,14.44,14.38,14.18,13.94,12.48,15.14,13.44,14.32,13.66,10.2,10.44,10.62,11.16,10.88,10.44,10.66,13.06,10.9,8.94,7.66,7.44,8.7,12.2,13.18,15.7,16.42,10.98,9.88,12.82,8.26,10.0,12.44,11.46,17.82,12.68,11.74,12.84,8.16,9.28,9.36,7.98,12.06,9.72,12.36,18.16,15.58,13.42,19.88,20.64,20.74,14.42,18.3,18.18,18.42,18.28,23.6,24.62,19.6,23.32,18.52,19.22,20.2,22.54,21.28,6,9,14,28.0,22.8,32.3
20.02,17.66,18.04,15.26,14.94,14.66,15.74,14.62,14.74,14.62,14.66,15.14,15.56,14.86,15.5,15.86,14.76,14.52,14.4,16.46,15.42,15.18,14.36,17.2,14.82,14.74,22.4,20.0,22.58,24.8,20.38,31.36,43.74,37.58,46.8,120.62,166.76,169.0,156.44,158.2,123.9,94.56,142.38,145.48,143.34,170.4,165.88,169.84,165.46,147.5,148.92,135.4,145.94,132.1,119.02,122.08,127.44,123.52,134.12,124.98,143.4,159.82,170.44,156.1,174.24,188.8,162.06,151.5,136.28,118.14,82.52,72.34,65.36,64.2,55.52,43.84,30.26,27.32,20.44,32.46,28.58,19.8,23.56,17.9,18.88,20.58,25.44,23.24,21.6,18.92,23.38,23.38,25.1,17.62,18.04,17.1,0,9,15,28.4,25.1,31.6
18.14,18.56,17.2,17.76,24.22,22.08,23.54,16.9,16.86,17.32,17.24,16.98,16.86,15.86,16.6,15.76,17.16,16.44,16.3,15.74,15.8,17.26,20.58,15.7,15.28,14.28,15.3,24.86,35.92,27.82,26.48,30.94,23.68,55.52,49.94,141.54,186.22,175.96,160.16,156.72,147.26,145.4,148.28,151.06,150.5,181.08,174.92,176.36,171.8,131.82,128.28,128.26,146.86,149.32,112.6,105.26,110.12,114.24,132.46,126.18,142.54,162.06,170.58,167.94,160.2,162.04,162.94,103.16,100.72,80.68,55.18,45.6,32.7,22.94,26.1,25.92,27.26,26.94,26.78,25.56,26.76,30.48,40.8,27.96,33.34,36.2,30.26,29.66,28.9,30.84,26.38,25.04,19.36,22.9,22.36,26.18,1,9,16,28.1,26.2,30.7
19.86,16.32,16.4,15.9,17.88,24.72,16.86,15.7,15.72,16.16,15.52,15.54,15.74,16.46,15.66,15.54,15.54,16.12,15.64,15.66,17.74,17.86,22.72,16.3,16.84,15.28,26.28,23.66,34.3,26.56,30.32,39.48,47.18,67.0,34.62,129.2,184.72,174.62,151.28,144.64,135.42,108.38,129.02,150.92,165.78,164.84,171.8,161.32,158.6,135.8,125.44,145.76,116.02,151.5,117.54,114.2,136.96,111.62,117.2,109.02,139.88,140.14,153.14,150.82,160.32,149.54,153.22,141.72,109.0,95.56,69.24,71.38,65.32,51.96,46.98,19.02,23.06,23.24,16.88,11.76,15.6,13.36,12.3,11.0,16.56,15.38,15.22,14.0,16.7,17.42,21.82,20.98,22.34,16.44,17.48,18.84,2,9,17,27.6,25.7,31.0
15.877932471145733,15.107482604538141,14.247447130649874,13.637888316974843,13.537397118266925,13.805422103976255,13.191140292458323,12.395420895966566,12.612580328443027,12.325141881865681,12.471823635571402,12.183679610842745,12.45338275373248,12.192245547929655,12.21293602400949,12.086403622269641,12.33360532194501,12.004347104700178,12.244786191714592,12.095306122694158,12.119852243899809,12.458905839692543,12.808369151802507,12.19120138171081,11.93952096598538,11.7349706046732,15.808991484982606,17.65835121960459,21.16779502747525,20.529857888185646,19.932065371180823,21.917130446473383,32.97701710396318,40.826002790676235,33.322934012891096,73.85277832424349,91.30783869311932,92.19235829726696,87.23133286003088,85.62461847955083,75.6102314205166,73.03244300851578,79.13271181418261,80.18625644934025,81.61035770155908,90.6373552632216,92.64164977770373,89.82532012994417,87.4659404930838,76.24323976311352,72.66444981465511,72.24185828688434,70.71353936420007,75.06283476813196,63.10145351020896,63.59621429625792,63.60743157942554,62.94269533251524,64.88879963532656,65.83677512542184,75.737567156334,79.78617625625323,85.5093590330721,86.37521106026128,90.00667451776036,94.97603354416832,89.21005043983708,78.16044069648613,69.63243745124794,58.33512418301931,43.15149344300271,40.67857145146812,35.37630379606369,33.50735998951047,29.62707057136653,22.39012196159449,21.70130708232398,22.26598117516029,21.363856155801095,21.32022342848196,21.028227910953916,21.397488151969497,21.071088801145564,20.013878476449403,20.448775617853457,20.321812256806002,21.0547919702042,21.214662046682967,21.349151615242018,20.204335145484563,20.794720810491256,19.826690357683475,18.93021536437508,17.67621374860599,17.259927218798385,16.70069847857476,3,9,18,28.7,26.0,32.5
15.737806934674781,15.01678309914348,14.073708972144821,13.530896952417354,13.229612483654508,13.348136131136574,12.91405994823555,12.188977529532611,12.409908462810987,12.113611685131856,12.279551028209362,11.97027725156562,12.226399333070228,11.960734533146448,12.004327318532717,11.898008348649032,12.102676989364461,11.766393589370601,12.039964356769218,11.878924875047462,11.855574888065595,12.16808627965738,12.36241086129726,11.945312745207843,11.70820676269973,11.529744917587854,15.423394866545863,17.32893330053806,20.51869671346004,20.199824191849547,19.539130777143516,21.180137500325174,32.55222720005608,39.776157030453035,32.82009999400631,70.4548331667714,85.90284631904214,87.07204800002701,82.80641095568653,81.38793229245914,71.73116096287161,70.05034939277417,75.39059390406646,75.92576184109544,77.12465050677136,85.82530088790057,87.87636382425816,85.15951397575543,82.78856950453353,72.50463062086732,69.05532585773496,68.33974749482151,67.34050713369962,70.76630706654565,59.783192011967714,60.55080259444362,59.80857686645221,59.72064760219233,61.219496776593836,62.7955108975428,71.68541992568353,75.44626965387886,80.80612647225979,82.13359629690596,85.63584676969187,91.12075637482549,85.25049485418648,74.96392876274926,67.22969472332889,56.34369301519111,41.81348357063189,39.51177222866989,34.34310132172286,32.987607235984676,29.003056784314847,22.245688497800856,21.547275015290367,22.18277764850331,21.44696126282249,21.4142899692378,21.05957010015308,21.487324513593634,20.979542361535362,20.211077740216098,20.39195356531465,20.232501844610006,21.032048654116775,21.208931774636092,21.302024936956137,20.056455261985022,20.535299908229128,19.625217568298076,18.689186761568028,17.561596506519273,17.107569144147803,16.409987923415116,4,9,19,29.5,26.1,33.0
