C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,weekday,month,trend,MEAN_TMP,MIN_TMP,MAX_TMP
7.32,9.98,8.12,7.36,7.5,8.2,8.48,7.32,5.44,6.56,5.84,6.4,9.54,5.94,5.26,8.78,7.76,5.46,6.48,6.02,7.02,6.16,4.72,5.54,8.92,5.46,8.04,14.14,23.82,18.52,18.96,21.14,50.02,49.48,33.14,65.12,77.08,66.62,52.66,56.34,66.48,60.66,53.8,59.02,62.38,55.14,54.5,56.96,53.32,43.48,35.12,42.48,30.84,40.54,46.92,19.0,17.06,20.64,30.78,48.36,33.98,26.64,48.52,57.6,79.9,79.06,81.14,79.06,64.84,67.56,43.24,51.5,51.82,37.98,34.34,27.48,23.4,29.32,35.12,39.26,29.14,32.72,24.32,26.4,25.24,24.52,26.54,19.26,21.2,14.12,19.6,15.98,14.88,15.34,13.34,11.72,3,10,60,24.9,21.4,29.7
13.2,14.14,11.02,6.54,13.92,12.66,7.26,8.48,9.8,14.82,9.36,6.66,6.28,6.64,7.22,6.98,6.12,5.46,5.76,5.54,6.68,5.94,9.0,8.4,6.94,12.12,6.18,17.92,11.16,17.2,15.8,26.66,33.66,49.74,30.0,57.56,63.96,79.54,62.66,52.1,68.68,67.82,63.42,66.04,64.04,60.72,54.64,61.12,50.68,43.26,40.12,34.74,33.54,41.9,30.2,30.66,17.4,19.68,22.08,44.94,48.64,56.68,49.46,50.16,54.78,70.36,75.0,65.78,59.26,48.9,27.7,32.92,20.3,34.18,20.32,19.08,16.68,15.26,15.38,14.52,14.88,20.86,15.22,11.66,10.36,12.48,12.3,12.2,11.62,12.3,10.44,10.32,11.82,9.38,14.74,15.34,4,11,61,25.8,21.6,29.8
13.4,8.1,7.56,7.84,8.4,7.36,7.58,8.3,6.94,6.86,6.7,7.56,7.36,6.84,7.48,7.18,7.3,10.32,9.46,7.28,6.88,6.56,7.84,7.16,6.8,7.34,6.7,6.06,5.8,7.48,7.3,8.4,8.98,8.1,10.18,11.32,10.74,7.64,9.84,8.1,13.28,6.1,5.38,4.96,5.66,6.48,5.3,9.28,9.7,7.82,5.06,7.54,9.16,6.92,5.34,7.8,7.94,5.12,5.64,5.54,6.06,5.52,6.42,5.58,5.12,7.14,7.82,8.04,7.86,5.96,11.94,6.06,5.8,6.86,10.18,11.12,11.88,16.96,14.94,10.62,8.68,8.32,8.46,15.6,12.74,13.84,16.22,12.3,11.66,16.26,11.76,19.84,18.06,14.18,13.44,9.72,5,11,62,26.1,24.6,28.0
9.08,5.7,6.3,9.06,5.88,6.6,9.1,7.42,6.2,5.46,5.58,7.8,8.22,4.98,5.4,5.16,5.52,6.9,5.16,5.0,5.5,5.2,6.1,6.18,5.98,4.94,5.12,4.98,4.54,4.5,4.66,5.3,6.98,8.8,8.26,8.3,6.86,6.96,8.02,7.82,6.32,8.28,8.64,8.1,6.18,9.0,8.06,8.08,8.22,7.74,6.28,9.54,5.32,5.44,7.12,7.38,6.16,6.1,5.2,5.18,4.48,6.0,5.2,6.74,8.2,5.44,5.06,6.52,10.36,9.84,10.94,11.3,13.68,12.5,14.76,21.72,13.88,19.66,20.7,25.06,17.92,18.86,18.92,16.98,18.34,21.16,16.8,16.7,14.08,18.12,16.76,11.58,8.8,10.74,9.2,12.18,6,11,63,25.2,23.9,27.7
11.96,11.22,7.5,5.46,5.94,5.52,5.56,5.32,5.32,6.44,7.56,5.32,5.28,5.38,5.82,6.54,12.26,5.28,5.76,5.8,14.46,7.82,5.78,5.0,12.44,5.36,5.74,7.76,18.48,20.58,19.94,17.7,48.62,49.1,34.64,46.34,60.32,68.6,72.8,68.36,62.92,56.94,75.22,56.6,51.22,61.26,58.16,52.96,45.64,31.38,36.46,34.06,39.62,28.12,23.88,21.78,27.4,24.72,24.74,50.74,47.92,51.9,54.32,63.14,58.9,56.26,74.88,77.4,61.1,55.86,41.48,42.68,29.68,35.54,37.92,29.42,30.24,29.0,30.96,37.52,23.9,22.54,25.0,23.18,32.16,23.84,20.98,20.42,21.54,21.82,19.32,14.52,12.64,12.1,13.22,10.54,0,11,64,22.9,21.6,25.5
9.98,7.1,12.36,6.7,4.62,4.3,4.7,5.22,5.8,5.54,4.24,5.0,6.24,5.84,4.58,5.26,4.42,4.96,4.66,6.18,4.5,5.78,4.18,4.9,4.72,5.94,5.8,13.38,9.36,15.28,12.9,20.6,17.64,37.06,29.54,52.3,72.44,70.6,66.06,66.5,57.92,54.02,59.24,57.8,49.26,60.02,56.54,49.8,46.74,22.26,27.44,31.5,37.18,26.1,11.94,11.5,15.08,22.22,22.6,46.94,53.26,48.52,48.14,46.06,65.64,67.16,75.28,71.1,65.4,60.94,59.24,41.5,39.6,39.18,42.16,34.52,32.76,35.76,41.64,32.32,36.12,30.84,31.9,34.66,28.52,21.52,26.8,17.32,17.68,18.1,15.9,17.22,14.26,11.6,11.18,12.16,1,11,65,21.5,19.6,23.2
6.34,4.9,5.48,7.54,8.12,4.9,4.84,4.8,4.94,4.1,4.78,5.22,5.58,4.82,6.12,4.52,5.44,5.82,4.34,4.26,4.54,5.22,4.72,4.42,4.14,4.88,21.24,14.54,18.96,20.38,17.72,21.9,27.64,45.28,27.96,52.02,70.84,61.92,58.9,77.34,73.34,65.1,81.08,66.56,59.44,57.02,53.16,50.3,49.64,33.08,26.7,38.26,25.76,28.3,35.3,25.52,34.68,18.48,18.36,38.88,47.7,44.76,45.24,58.04,68.76,74.48,78.32,74.74,69.8,59.08,43.48,44.72,41.02,44.6,37.24,34.72,31.72,37.34,35.04,25.72,33.3,24.6,23.2,23.12,33.0,27.58,20.64,26.12,28.32,26.12,14.96,15.72,14.22,15.06,16.5,13.56,2,11,66,23.8,21.3,26.9
8.88,6.08,6.22,6.0,5.02,4.9,5.14,4.98,6.48,8.22,5.26,4.86,5.08,6.12,5.08,4.6,4.36,5.78,5.72,4.86,5.16,4.7,5.58,5.04,4.48,5.2,6.04,14.54,17.32,19.52,21.74,19.62,21.56,48.62,33.56,58.86,75.46,69.4,52.86,60.3,60.54,55.78,69.9,73.32,75.28,59.46,59.9,70.94,55.6,34.7,36.42,37.8,33.6,26.62,24.78,15.5,33.06,16.0,22.44,46.1,45.28,43.3,50.06,59.72,69.24,75.28,74.16,76.46,63.94,58.58,47.06,47.44,32.2,36.02,33.22,23.4,20.52,23.8,23.64,24.24,23.04,22.98,26.28,19.98,20.64,27.88,19.5,19.48,15.78,18.0,16.98,17.16,10.54,8.04,7.18,5.44,3,11,67,24.2,21.9,28.4
4.82,5.9,7.52,11.8,6.86,5.86,5.6,6.1,4.76,11.6,4.36,5.8,5.36,4.72,7.88,5.46,5.34,5.9,5.26,6.84,4.66,4.48,4.5,4.68,6.7,5.14,15.5,8.38,23.44,22.86,22.94,20.26,20.2,57.66,44.96,65.14,56.62,56.44,61.08,75.82,63.06,71.1,46.98,60.26,55.34,55.06,51.0,50.54,51.12,35.94,34.14,27.9,48.98,39.52,28.8,29.16,38.62,21.68,32.72,39.04,43.6,50.62,56.88,64.22,65.0,68.6,69.04,59.74,54.26,44.42,42.12,34.68,23.44,20.4,21.02,20.76,18.18,14.52,13.64,12.86,13.3,14.06,15.68,16.26,12.06,12.14,12.22,13.94,15.1,16.18,15.26,9.44,13.9,8.6,8.32,7.66,4,11,68,24.9,22.6,29.8
9.7,8.94,9.42,8.58,7.08,5.4,5.88,6.02,6.18,5.12,4.86,5.24,5.9,7.78,8.6,5.42,5.06,5.08,5.38,5.04,5.58,5.5,4.44,4.94,4.14,5.6,5.78,6.98,6.98,4.36,7.88,4.8,6.88,7.2,7.7,5.58,5.32,5.7,5.7,5.78,4.98,5.32,6.2,4.84,6.04,9.4,9.82,9.08,9.44,8.06,7.54,9.86,7.4,6.44,6.12,5.88,4.58,4.5,5.3,5.76,4.92,4.8,4.76,9.14,8.1,6.28,4.9,4.36,4.56,5.0,5.8,6.64,11.48,10.96,11.5,9.08,11.14,14.46,10.68,9.48,10.1,11.04,12.6,11.04,9.56,12.52,14.84,13.62,14.52,14.92,18.0,9.38,11.64,13.78,15.82,9.92,5,11,69,25.5,21.8,29.2
10.32,8.28,7.02,7.18,10.96,7.38,6.2,7.62,6.76,7.72,9.24,9.14,9.04,6.48,6.22,6.56,6.7,6.04,8.56,8.18,7.44,6.96,6.6,6.64,7.22,6.44,5.9,6.22,7.06,6.16,7.44,5.86,6.72,7.34,6.54,7.18,6.98,8.58,10.02,8.08,9.82,12.9,10.48,8.46,6.7,6.9,6.88,8.12,10.08,12.14,6.98,5.3,8.04,5.7,8.96,14.1,13.8,10.72,11.4,12.04,7.34,6.72,6.36,5.92,5.42,5.76,5.94,6.42,8.52,9.82,9.2,11.3,11.9,13.88,15.76,17.78,12.6,15.72,16.66,12.1,12.02,15.76,16.16,14.94,17.04,14.94,25.32,25.86,16.26,16.42,17.6,15.5,14.0,10.78,10.82,12.56,6,11,70,26.2,24.3,27.7
9.76,7.66,5.48,5.88,4.78,4.44,4.72,5.38,4.82,5.94,5.36,5.4,5.06,4.94,5.22,5.06,4.44,4.94,5.1,5.5,5.26,5.24,4.74,5.64,5.2,4.74,12.42,12.74,15.42,20.7,18.94,18.98,21.58,37.14,28.32,49.88,71.76,70.56,65.34,74.12,81.1,60.8,67.86,64.48,57.0,62.94,68.1,63.08,52.56,44.54,41.86,31.56,20.92,44.02,25.08,25.86,16.24,44.92,42.66,48.86,47.6,58.52,62.82,51.0,51.94,61.96,75.7,78.24,67.56,49.7,47.48,42.76,27.96,37.72,30.86,29.62,23.3,27.58,32.08,30.44,28.32,29.36,29.54,27.6,21.48,21.98,24.88,19.24,18.06,18.76,20.98,18.74,24.64,18.18,11.1,11.5,0,11,71,24.7,23.6,26.2
6.66,6.54,6.7,8.38,7.64,7.0,8.08,6.76,5.72,5.76,5.76,5.22,5.36,5.8,5.44,5.0,5.44,4.76,5.64,5.36,5.8,5.4,5.96,5.32,6.46,4.92,6.3,8.02,7.62,11.48,12.88,15.04,33.02,47.22,23.8,53.5,69.18,54.34,58.72,69.68,58.48,62.02,63.24,77.5,54.66,58.0,50.34,49.48,47.66,39.3,34.22,29.0,34.94,45.04,33.68,43.92,32.7,47.8,30.54,42.74,39.96,48.88,54.32,54.94,62.68,83.16,71.84,76.08,73.48,55.74,35.12,44.78,43.84,42.94,36.98,27.7,28.12,27.26,27.62,25.96,21.44,22.64,28.78,21.86,21.74,33.6,20.18,20.86,18.6,12.06,11.46,11.12,10.4,10.42,7.0,6.14,1,11,72,22.4,21.1,23.6
5.36,6.38,6.66,4.98,6.5,4.9,5.68,5.8,5.16,7.32,7.02,4.5,7.5,7.9,4.94,4.9,11.44,4.1,6.24,4.88,5.3,4.94,4.78,4.96,5.12,5.24,23.6,15.42,21.16,28.72,24.04,13.54,14.44,46.44,28.16,49.82,71.18,75.98,59.8,80.86,54.8,45.5,61.02,55.36,45.18,57.0,49.74,50.58,49.02,33.12,29.26,34.94,48.18,44.22,20.08,19.18,30.68,24.28,24.96,53.6,43.82,59.8,51.02,57.58,58.06,72.4,73.12,64.76,56.08,59.44,36.66,49.86,51.82,50.46,24.62,24.88,26.44,32.94,41.78,40.34,38.12,32.3,25.22,27.86,26.62,22.82,20.88,27.76,18.7,17.68,11.46,19.88,16.06,13.1,8.96,7.0,2,11,73,19.2,18.3,22.5
8.88,5.4,5.6,5.46,4.74,6.02,5.2,5.92,4.08,6.5,7.0,4.88,3.96,4.08,4.98,4.3,4.72,5.36,4.62,4.24,4.4,4.26,4.78,4.2,7.66,6.24,10.24,16.98,22.34,24.88,27.46,23.02,43.66,38.56,28.12,49.54,69.58,58.28,50.36,50.5,31.9,31.96,53.0,56.74,54.12,58.9,50.4,59.32,46.5,42.16,32.8,31.46,22.26,52.16,33.8,35.66,35.56,38.58,38.72,35.82,38.1,40.88,47.6,48.14,56.08,66.66,72.74,70.58,56.68,51.28,41.9,41.44,44.22,44.16,29.16,28.9,26.84,31.84,25.68,23.24,24.2,24.7,27.6,25.3,20.7,22.42,18.18,15.36,17.38,19.78,20.28,13.64,13.26,9.82,8.08,7.86,3,11,74,19.7,18.1,23.1
7.18,7.58,5.12,5.22,4.02,4.56,5.3,4.98,4.0,5.22,5.28,4.2,4.36,4.92,12.28,3.94,5.16,4.44,4.12,4.8,6.06,4.76,7.4,4.52,4.28,4.32,5.44,22.4,26.72,28.78,28.56,21.7,49.7,48.34,36.82,51.1,69.46,71.76,84.98,58.94,54.0,50.8,71.62,54.16,56.66,59.94,60.74,46.16,48.36,41.08,15.2,18.42,41.06,34.12,26.22,14.72,12.54,22.98,13.84,38.44,38.48,40.68,46.74,41.72,55.78,52.98,68.52,67.72,74.86,44.56,32.4,36.18,18.26,32.6,19.96,20.56,23.2,31.86,20.62,14.9,25.06,13.26,15.32,13.84,18.04,16.22,13.78,24.86,16.94,13.94,9.46,15.66,13.02,6.96,21.02,8.54,4,11,75,20.4,17.3,25.1
7.68,15.62,5.62,4.58,4.6,4.06,3.22,3.64,13.78,3.56,4.1,3.32,3.64,3.98,4.06,4.1,3.28,4.42,13.88,3.86,3.14,14.18,4.2,3.4,5.28,6.2,4.2,2.66,3.46,3.32,3.7,14.28,5.28,7.6,19.38,8.66,10.24,9.56,6.22,9.28,5.54,5.36,6.3,7.44,16.5,10.54,7.62,17.0,6.3,8.28,3.84,4.94,4.74,3.52,3.9,6.14,6.14,20.3,7.3,4.78,14.0,3.88,3.64,4.06,3.92,3.74,5.82,15.78,4.98,3.86,15.7,8.86,12.02,11.92,10.54,13.74,10.3,18.54,8.5,10.84,24.48,11.74,8.4,8.68,8.7,12.14,16.02,14.72,16.28,13.82,26.74,14.24,11.36,20.8,10.26,7.58,5,11,76,20.8,16.9,24.9
7.42,10.52,10.4,8.74,6.96,8.8,8.58,13.84,3.56,6.02,16.38,3.56,3.82,3.5,4.84,3.88,3.14,3.28,3.64,3.5,4.64,3.22,2.78,13.04,2.88,3.64,13.92,3.26,2.82,13.02,3.82,4.9,4.92,7.64,9.88,7.34,6.42,9.56,8.6,7.7,5.48,4.86,16.04,5.8,4.6,14.64,6.9,6.24,7.24,5.28,9.02,7.2,19.06,11.2,10.08,18.6,4.76,4.6,5.8,5.84,4.64,5.78,10.32,6.86,6.32,16.58,6.28,5.06,4.26,8.62,15.08,14.58,16.1,16.12,11.3,24.14,18.04,21.1,27.14,14.48,13.92,15.94,19.08,19.16,17.62,15.42,16.5,17.5,28.84,19.28,14.24,21.5,11.4,13.4,15.22,13.1,6,11,77,20.9,17.7,25.0
5.76,6.12,8.56,8.12,7.22,17.66,3.24,2.94,13.74,3.64,3.7,13.3,3.54,3.18,2.86,3.62,4.08,3.7,13.24,3.64,3.28,13.38,3.32,2.96,14.16,3.66,10.48,10.84,16.08,21.58,23.12,19.12,46.1,37.84,39.88,51.48,74.9,77.02,71.5,71.12,68.74,43.82,48.04,50.78,47.98,73.06,59.7,50.68,52.86,33.62,29.24,25.42,36.44,25.94,14.24,10.76,14.18,15.3,26.82,41.62,48.18,43.88,49.46,50.6,66.48,61.04,66.82,68.64,56.94,55.28,27.56,35.98,38.98,50.08,32.2,29.0,25.8,31.92,32.12,27.8,31.02,36.16,25.88,28.92,33.98,30.34,29.42,29.3,21.44,23.26,26.12,17.24,15.26,9.16,8.84,16.26,0,11,78,21.2,18.1,24.9
16.38,17.9,7.86,10.82,9.46,5.34,8.4,6.08,5.0,5.08,4.42,12.04,9.58,5.64,8.2,5.8,4.98,4.22,4.0,5.7,5.36,4.22,5.26,4.52,3.9,4.46,17.0,18.2,11.54,12.5,13.12,16.78,34.7,39.84,35.68,54.7,66.68,64.84,66.24,56.52,45.58,38.8,57.08,49.38,48.7,51.34,61.74,49.78,47.34,27.68,26.38,17.58,27.74,36.94,34.76,24.86,23.54,25.8,25.4,46.96,52.72,59.04,53.6,61.16,55.9,66.64,79.84,74.2,61.44,54.46,47.34,45.38,28.6,42.6,40.14,25.14,25.42,25.74,26.4,27.68,30.06,28.56,23.3,20.26,17.98,17.98,16.62,20.48,21.26,17.96,14.46,11.76,11.4,11.52,7.24,7.34,1,11,79,20.0,18.2,22.3
4.24,4.06,5.08,4.4,11.6,3.86,4.28,5.04,4.22,4.48,4.56,4.6,4.34,4.52,4.42,4.18,4.32,4.86,6.52,6.66,4.8,4.5,4.88,4.24,4.48,7.24,21.34,15.04,24.04,22.56,24.04,17.42,35.28,31.7,28.9,49.92,64.62,76.74,65.62,73.3,69.14,55.74,62.12,55.32,51.92,55.84,53.28,47.9,44.06,34.02,24.08,14.92,15.62,36.32,12.94,10.28,14.24,27.98,30.68,40.72,44.0,45.12,53.94,56.92,72.52,60.64,68.74,69.9,57.76,50.96,39.72,47.06,50.8,36.34,31.78,25.04,25.78,28.7,34.02,25.7,30.12,21.56,22.62,30.74,31.52,18.24,17.64,24.08,23.26,21.58,21.46,21.82,19.56,18.8,13.58,10.72,2,11,80,19.3,17.7,21.4
8.34,7.48,7.18,7.8,6.52,4.74,5.4,5.62,5.04,3.84,4.34,4.5,4.3,4.66,4.7,6.1,5.06,3.82,4.32,5.0,4.22,4.94,6.32,6.04,4.44,4.8,11.56,15.76,14.38,19.56,20.96,20.1,49.76,55.18,31.52,50.66,78.0,77.52,49.62,64.08,56.92,48.24,58.06,55.54,39.56,52.92,52.06,45.8,49.36,23.26,26.38,17.98,22.28,34.94,24.46,12.54,13.16,35.74,21.46,44.28,44.46,45.96,53.3,55.86,59.1,64.16,82.52,67.1,53.26,53.92,28.56,36.5,45.76,38.08,31.26,26.26,28.88,32.58,24.36,29.72,30.72,30.96,29.12,22.02,29.0,21.76,24.58,23.6,17.52,16.92,13.76,11.76,12.18,8.56,5.22,7.6,3,11,81,20.4,18.0,23.4
7.24,5.46,4.84,5.16,5.18,5.22,4.14,3.9,4.64,4.32,5.1,4.36,4.02,4.54,5.54,4.3,4.06,4.92,12.24,3.8,3.86,6.32,6.56,4.2,4.82,5.54,6.04,19.26,17.18,28.36,28.02,21.84,44.88,55.3,58.58,58.24,54.12,56.24,80.76,73.88,57.24,45.58,59.92,57.08,52.46,58.94,58.92,59.92,40.52,35.72,32.1,30.94,37.5,27.42,24.4,25.2,37.28,29.42,22.5,41.54,46.06,44.74,50.98,56.82,50.1,65.8,76.36,64.04,51.88,40.5,47.68,34.58,24.54,26.92,26.94,27.3,21.96,20.06,20.56,19.0,12.6,13.88,12.62,10.48,13.52,16.2,15.06,12.66,10.44,11.46,15.08,12.38,10.0,8.72,5.92,5.3,4,11,82,21.2,17.9,26.1
4.64,3.98,4.56,4.82,3.58,3.78,4.5,4.22,4.52,4.68,3.64,3.72,3.14,3.42,4.06,3.9,3.74,3.34,4.22,3.16,3.72,3.58,4.2,3.26,3.34,3.94,2.9,3.78,6.32,5.4,4.08,4.62,3.9,3.32,4.14,5.98,6.28,8.7,9.12,7.18,5.22,4.06,4.84,5.18,6.52,6.4,6.36,8.42,4.94,7.2,7.0,8.72,4.34,5.0,4.1,5.88,6.52,3.7,4.14,5.12,5.66,3.92,7.48,6.1,3.68,4.24,4.5,4.16,5.6,6.66,9.08,8.34,10.62,13.24,11.82,14.84,13.4,13.76,16.46,10.74,11.68,11.86,11.5,10.12,11.88,9.16,9.0,13.12,10.74,16.32,15.44,10.88,8.8,11.58,10.92,6.62,5,11,83,22.1,19.8,26.3
7.04,8.26,7.58,7.54,4.14,6.3,6.42,5.82,4.0,3.54,4.36,3.94,4.38,4.28,3.76,4.22,3.66,3.9,4.22,4.14,3.58,3.82,3.92,3.7,4.1,3.64,4.64,4.2,3.7,6.9,3.4,6.66,6.7,6.84,5.98,6.34,7.18,5.94,9.28,8.94,5.92,6.66,4.04,6.08,8.12,9.64,8.18,6.32,7.0,8.0,6.32,7.02,6.84,4.38,4.06,5.24,6.0,4.68,5.18,4.58,4.92,5.54,5.6,6.4,6.14,4.64,8.96,9.14,9.98,12.22,14.08,13.5,15.98,11.02,13.44,16.04,16.28,13.72,19.54,17.74,17.02,21.48,17.62,13.26,11.74,14.94,14.08,12.06,13.88,11.58,14.48,12.46,11.56,8.16,7.86,11.14,6,11,84,22.7,19.7,28.8
11.16,7.48,5.88,5.44,3.34,2.74,3.38,3.5,2.94,2.94,3.88,3.28,3.34,2.72,2.78,2.86,3.3,3.68,2.92,3.62,3.12,3.32,2.72,2.78,3.58,3.22,13.64,16.4,23.18,22.64,29.18,14.98,41.44,32.12,23.7,60.98,65.14,59.58,51.1,49.1,55.5,55.76,44.94,57.96,48.78,54.26,57.38,49.62,52.5,30.02,18.74,34.0,29.94,48.24,23.3,27.68,27.48,49.92,23.12,44.94,42.62,48.6,49.42,51.84,50.32,64.78,76.28,67.4,60.92,43.36,50.56,32.0,27.26,33.86,27.66,28.36,27.9,31.58,28.84,41.22,37.54,32.82,29.58,24.66,28.22,27.72,21.78,31.56,23.76,19.72,19.0,15.96,27.44,19.64,13.58,16.82,0,11,85,18.8,15.3,23.0
11.1,8.74,17.74,9.04,6.02,5.04,5.48,5.02,4.8,4.66,4.64,4.54,3.94,5.22,4.34,4.18,4.76,4.34,4.94,5.12,13.6,4.62,4.34,4.4,4.5,4.64,8.06,17.9,12.04,18.58,15.64,18.68,43.56,30.56,30.4,51.34,66.0,66.44,46.6,54.72,53.02,38.9,52.78,51.44,49.18,53.38,52.1,46.68,47.64,22.46,27.5,34.84,25.58,25.9,23.6,23.98,14.72,14.34,26.78,49.76,47.04,41.6,44.72,50.42,58.58,67.96,69.28,65.34,60.96,49.64,26.72,44.56,23.22,31.86,30.8,24.0,22.22,25.32,31.52,25.86,22.98,25.6,20.7,23.76,23.0,23.34,22.64,27.08,22.44,20.26,15.46,11.08,13.3,10.44,10.28,8.12,1,11,86,18.8,15.2,23.5
6.5,4.38,5.28,4.64,4.8,4.34,4.18,5.14,4.52,4.84,4.9,4.02,6.38,3.74,4.62,11.04,4.74,3.94,4.42,3.94,5.08,4.42,5.1,5.5,6.24,6.0,18.84,10.76,16.46,19.3,26.88,19.92,38.42,38.74,40.02,58.16,78.46,76.62,62.66,69.22,67.48,54.86,54.12,47.96,59.48,58.14,57.24,48.74,48.04,23.1,23.9,19.12,39.5,39.68,10.6,10.1,10.96,30.62,15.54,43.98,44.92,41.84,47.74,46.12,53.26,79.94,76.76,70.2,57.68,44.56,29.5,42.72,40.84,29.92,31.46,25.84,34.02,36.58,30.82,30.62,34.76,28.0,32.3,26.26,28.6,27.98,27.18,28.36,25.68,28.02,13.96,9.26,16.38,16.28,17.9,9.86,2,11,87,19.1,16.0,24.1
7.72,6.26,5.58,3.8,4.16,4.26,7.38,3.78,4.18,4.54,4.6,5.02,11.18,3.84,4.58,4.5,4.96,7.5,4.5,4.16,4.7,4.28,4.1,4.38,4.22,4.88,14.06,13.46,21.46,20.12,26.16,22.6,50.44,34.02,30.08,51.36,72.84,59.06,65.92,62.28,47.3,55.52,56.48,56.74,48.46,57.18,60.78,48.32,51.54,25.54,25.72,26.24,37.8,35.06,11.26,9.86,11.86,16.66,27.36,39.08,42.54,51.28,49.66,48.94,54.06,62.24,73.14,70.12,56.12,51.02,29.68,39.2,31.5,44.2,27.4,26.42,21.32,33.9,31.2,27.86,30.18,24.9,20.34,24.36,22.66,26.68,23.96,24.96,23.8,19.34,18.26,21.3,12.28,8.78,8.54,6.3,3,11,88,15.3,11.1,18.9
5.82,4.02,11.58,3.9,4.46,5.3,4.5,4.82,4.46,4.54,4.8,4.32,7.02,8.76,6.76,3.86,11.78,4.24,3.8,4.14,4.26,4.94,4.46,4.58,4.76,7.12,5.16,12.56,22.38,27.18,27.68,20.78,46.66,35.58,37.94,46.02,68.86,76.0,53.54,62.22,50.06,66.8,62.64,47.32,52.1,53.92,55.96,47.36,46.28,27.7,23.24,18.68,36.1,36.0,21.3,13.78,13.0,22.92,14.98,42.58,38.86,46.8,42.12,48.94,55.34,63.54,79.42,72.1,53.1,47.0,52.36,24.58,45.08,27.54,23.1,21.02,22.02,23.14,22.4,16.16,15.92,18.8,19.16,20.18,18.58,15.24,13.4,11.52,9.46,12.84,17.02,12.64,12.64,12.82,16.38,14.36,4,11,89,14.8,12.0,17.8
12.2,9.14,8.4,6.5,8.76,6.34,3.38,4.22,3.76,3.62,3.54,3.54,4.42,3.42,4.54,3.64,3.34,3.86,3.58,3.54,4.04,4.22,4.6,4.18,4.3,3.68,6.14,5.04,3.34,6.52,7.82,5.3,6.36,8.74,8.44,5.96,6.3,12.52,9.4,4.84,7.76,5.74,6.12,7.84,6.62,9.44,13.56,11.0,9.3,6.74,4.74,6.18,6.68,6.84,4.38,7.94,4.78,7.18,6.86,7.02,7.32,5.34,4.9,6.02,4.9,5.54,5.2,6.3,9.8,9.3,6.9,10.64,10.56,10.6,11.22,12.22,16.82,18.1,14.18,16.2,16.08,14.42,12.3,16.04,16.26,20.16,19.26,13.48,9.32,10.46,10.64,13.16,15.3,14.94,13.44,10.44,5,11,90,15.4,11.8,20.6
9.58,7.68,7.68,9.86,9.72,9.0,7.0,3.88,6.28,5.84,9.06,3.92,4.66,4.06,4.02,4.2,4.1,4.04,4.44,3.62,3.92,3.82,3.8,4.3,3.76,5.24,3.1,3.54,4.32,3.38,4.26,5.58,6.52,8.9,5.44,6.74,10.98,12.12,9.02,9.66,4.9,9.52,10.5,10.3,9.18,7.54,5.26,9.28,6.2,7.0,6.6,6.96,8.08,5.82,7.32,5.34,8.26,9.34,9.9,6.28,7.02,6.6,5.04,5.42,5.58,4.64,5.68,6.7,11.82,10.5,8.68,8.86,13.44,10.82,11.76,15.56,18.18,18.56,18.04,25.46,20.32,20.88,22.98,21.88,21.16,25.44,18.36,24.62,25.42,18.6,20.16,20.5,19.8,19.34,17.08,11.48,6,12,91,17.1,13.0,21.8
6.1,8.4,8.0,8.56,8.62,5.5,5.58,4.52,3.88,4.6,3.94,3.94,4.1,4.14,7.1,3.34,3.54,4.18,4.14,4.04,4.02,3.32,4.04,3.6,3.32,4.46,6.16,19.06,19.68,22.76,20.46,27.04,45.74,45.12,27.46,25.2,64.16,70.58,51.56,61.18,67.68,57.8,71.58,42.62,45.92,55.44,53.04,48.3,48.12,23.2,23.24,24.6,37.48,34.06,22.38,11.42,21.44,11.66,21.82,45.54,41.32,41.34,48.4,49.22,66.52,62.94,85.48,84.0,64.04,44.38,41.34,35.36,34.2,34.54,33.84,29.58,23.72,24.78,25.38,33.46,34.34,35.9,34.82,28.0,36.12,30.24,24.3,21.58,28.08,20.5,17.68,19.48,19.38,14.9,18.1,10.8,0,12,92,18.1,14.0,23.6
19.4,7.9,6.78,7.18,4.14,4.36,6.0,7.86,6.74,6.96,6.94,4.02,4.44,3.62,10.68,3.88,4.54,4.1,4.38,4.48,4.02,10.48,3.88,4.1,4.16,4.82,7.6,20.2,17.14,11.58,20.58,17.98,44.18,43.78,28.0,60.0,65.12,60.34,60.38,61.74,47.12,45.16,57.86,71.62,57.8,52.88,55.58,48.78,51.64,30.64,22.08,18.0,35.44,32.9,21.0,9.92,11.3,16.36,18.64,40.74,41.68,42.8,51.72,58.5,63.6,78.06,71.84,61.22,58.68,55.62,37.26,42.84,44.88,31.86,27.5,24.68,24.94,29.16,27.84,29.04,24.74,25.62,27.02,23.32,21.4,18.58,22.84,23.32,18.94,17.72,13.38,18.8,15.44,15.24,10.74,8.8,1,12,93,18.7,14.7,23.9
